LineNumber, Time, CPU_percent, memory_percent, memory_used, memory_total, bytes_sent, bytes_recv, packets_sent, packets_recv, process_name, process_memory_occupied, process_total_numbers, process_read_cnt, process_write_cnt
1, 2017/04/18 17:07:52, 16.6, 83.4, 3353, 4022, 11301397, 31995481, 46878, 44541, qqbrowser.exe, 15.3274271996, 12, 184806, 186196
2, 2017/04/18 17:07:53, 4.7, 83.4, 3353, 4022, 11301722, 31995481, 46879, 44541, qqbrowser.exe, 15.3293695808, 12, 184824, 186208
3, 2017/04/18 17:07:54, 8.8, 83.4, 3353, 4022, 11302396, 31996274, 46886, 44546, qqbrowser.exe, 15.3100428878, 12, 184851, 186228
4, 2017/04/18 17:07:56, 15.3, 83.4, 3353, 4022, 11302396, 31996395, 46886, 44547, qqbrowser.exe, 15.3115967927, 12, 184875, 186246
5, 2017/04/18 17:07:57, 14.3, 83.4, 3353, 4022, 11302775, 31996618, 46888, 44549, qqbrowser.exe, 15.3127622215, 12, 184896, 186260
6, 2017/04/18 17:07:58, 8.8, 83.4, 3353, 4022, 11302775, 31996702, 46888, 44549, qqbrowser.exe, 15.315190198, 12, 184923, 186280
7, 2017/04/18 17:08:00, 10.9, 83.4, 3353, 4022, 11310455, 31997092, 46894, 44553, qqbrowser.exe, 15.3167441029, 12, 184947, 186298
8, 2017/04/18 17:08:01, 13.3, 83.4, 3352, 4022, 11310715, 31997499, 46895, 44555, qqbrowser.exe, 15.3182980079, 12, 184970, 186314
9, 2017/04/18 17:08:02, 41.3, 83.4, 3355, 4022, 11310715, 31997633, 46895, 44555, qqbrowser.exe, 15.3206288653, 12, 184994, 186332
10, 2017/04/18 17:08:04, 20.1, 83.5, 3358, 4022, 11311453, 31997795, 46900, 44557, qqbrowser.exe, 15.3222798894, 12, 185021, 186352
11, 2017/04/18 17:08:05, 21.6, 83.5, 3358, 4022, 11311507, 31998444, 46901, 44562, qqbrowser.exe, 15.3235424371, 12, 185042, 186366
12, 2017/04/18 17:08:06, 16.5, 83.5, 3358, 4022, 11311507, 31998708, 46901, 44562, qqbrowser.exe, 15.3259704136, 12, 185069, 186386
13, 2017/04/18 17:08:08, 38.7, 84.0, 3378, 4022, 11311507, 31998800, 46901, 44562, qqbrowser.exe, 15.3041186251, 12, 185096, 186406
14, 2017/04/18 17:08:09, 54.2, 85.5, 3437, 4022, 11312791, 31999701, 46913, 44571, qqbrowser.exe, 15.3053811729, 12, 185114, 186418
15, 2017/04/18 17:08:11, 34.0, 83.2, 3347, 4022, 11312888, 32000340, 46914, 44574, qqbrowser.exe, 15.3080033875, 12, 185143, 186440
16, 2017/04/18 17:08:12, 14.7, 82.4, 3315, 4022, 11313894, 32001021, 46918, 44578, qqbrowser.exe, 15.3095572925, 12, 185167, 186458
17, 2017/04/18 17:08:13, 11.3, 82.4, 3316, 4022, 11314290, 32001021, 46918, 44578, qqbrowser.exe, 15.3109169593, 12, 185188, 186472
18, 2017/04/18 17:08:14, 23.0, 82.6, 3320, 4022, 11315057, 32001371, 46924, 44582, qqbrowser.exe, 15.3146074836, 12, 185233, 186506
19, 2017/04/18 17:08:17, 25.9, 82.7, 3324, 4022, 11315057, 32001413, 46924, 44582, qqbrowser.exe, 15.3157729123, 12, 185251, 186518
20, 2017/04/18 17:08:18, 56.6, 83.1, 3342, 4022, 11315453, 32001413, 46924, 44582, qqbrowser.exe, 15.3176181745, 12, 185278, 186538
21, 2017/04/18 17:08:19, 17.6, 83.3, 3349, 4022, 11320296, 32004479, 46951, 44601, qqbrowser.exe, 15.3188807223, 12, 185302, 186556
22, 2017/04/18 17:08:21, 14.6, 83.8, 3369, 4022, 11328520, 32006336, 46960, 44611, qqbrowser.exe, 15.3214058178, 12, 185325, 186572
23, 2017/04/18 17:08:22, 47.7, 83.7, 3365, 4022, 11328520, 32006672, 46960, 44612, qqbrowser.exe, 15.3229597228, 12, 185349, 186590
24, 2017/04/18 17:08:23, 23.5, 83.6, 3360, 4022, 11328862, 32006764, 46960, 44612, qqbrowser.exe, 15.3117910309, 12, 185376, 186610
25, 2017/04/18 17:08:25, 32.7, 86.5, 3480, 4022, 11329447, 32007563, 46966, 44619, qqbrowser.exe, 15.3139276502, 12, 185397, 186624
26, 2017/04/18 17:08:26, 36.8, 86.6, 3483, 4022, 11329447, 32008057, 46966, 44621, qqbrowser.exe, 15.3153844361, 12, 185424, 186644
27, 2017/04/18 17:08:27, 25.7, 86.4, 3474, 4022, 11329447, 32008448, 46966, 44622, qqbrowser.exe, 15.316841222, 12, 185448, 186662
28, 2017/04/18 17:08:29, 30.6, 86.7, 3486, 4022, 11329567, 32008752, 46968, 44624, qqbrowser.exe, 15.3190749604, 12, 185469, 186676
29, 2017/04/18 17:08:30, 23.8, 86.5, 3477, 4022, 11330248, 32009975, 46976, 44636, qqbrowser.exe, 15.3202403891, 12, 185493, 186694
30, 2017/04/18 17:08:31, 20.0, 86.3, 3472, 4022, 11330248, 32010285, 46976, 44638, qqbrowser.exe, 15.321697175, 12, 185513, 186708
31, 2017/04/18 17:08:33, 9.1, 86.1, 3462, 4022, 11330248, 32010555, 46976, 44638, qqbrowser.exe, 15.3246107468, 12, 185540, 186728
32, 2017/04/18 17:08:34, 11.7, 85.9, 3456, 4022, 11330774, 32010759, 46981, 44640, qqbrowser.exe, 15.3259704136, 12, 185564, 186746
33, 2017/04/18 17:08:35, 11.0, 85.9, 3455, 4022, 11331259, 32011290, 46983, 44645, qqbrowser.exe, 15.3273300805, 12, 185585, 186760
34, 2017/04/18 17:08:36, 29.2, 86.6, 3481, 4022, 11331259, 32011550, 46983, 44647, qqbrowser.exe, 15.3291753426, 12, 185617, 186796
